path,sha256,bytes,kind,status,author,source,license,local_notice,notes
game/art/anims/Crouch_Bwd_R.res,80241db1ccafb8beb7c03197e214d3e17ab1a51ddc2ddc2a941627199bc5f088,38325,res,review_required,unverified,unverified,unverified,,No repository-local provenance record currently clears this distributed asset.
game/art/anims/Crouch_Enter.res,892978de37e1647dbfdfb008c0fddf8d4420086383881399fd4efce1a1c1307a,38152,res,review_required,unverified,unverified,unverified,,No repository-local provenance record currently clears this distributed asset.
game/art/anims/Crouch_Exit.res,aa8abd2a8cac1cd49de1ff43b91ec43bfd4ef07472171ad04649bce00b209e45,37790,res,review_required,unverified,unverified,unverified,,No repository-local provenance record currently clears this distributed asset.
game/art/anims/Crouch_Fwd.res,801999ff0688db82712588ca93c8ad15b892404dee32141e69ce1f6ec6e3321a,37613,res,review_required,unverified,unverified,unverified,,No repository-local provenance record currently clears this distributed asset.
game/art/anims/Crouch_Fwd_L.res,e88656d2811df8a9a14b53008bfad7e0309e4ac436c0dc87b9baba90278afc71,38101,res,review_required,unverified,unverified,unverified,,No repository-local provenance record currently clears this distributed asset.
game/art/anims/Crouch_Fwd_R.res,ec779344d771180c4a8a759e9c2ed8b6cf8a14815397cfb00aca154ff6d68449,38005,res,review_required,unverified,unverified,unverified,,No repository-local provenance record currently clears this distributed asset.
game/art/anims/Crouch_Idle.res,9b3e572f3fac1227d52de9e904f0e00b6bd0a7b8c47f2b89f746687d6c8eeecd,62551,res,review_required,unverified,unverified,unverified,,No repository-local provenance record currently clears this distributed asset.
game/art/anims/Crouch_Left.res,d45ac76a37bb05bb829d269897784bc35d3762c53b453b00d544805c994bb334,37507,res,review_required,unverified,unverified,unverified,,No repository-local provenance record currently clears this distributed asset.
game/art/anims/Crouch_Right.res,2600363d1b9ee5a15b4d1e77f21c5a31e8fc66d691ae20d60d3c938688d05178,36645,res,review_required,unverified,unverified,unverified,,No repository-local provenance record currently clears this distributed asset.
game/art/anims/Crying.res,2853ec3737c5e4c711cf55ac0a742de4bf843914e825b8b53c1972df9af23718,93060,res,review_required,unverified,unverified,unverified,,No repository-local provenance record currently clears this distributed asset.
game/art/anims/Dance.res,a7fca6511e56207e8da037a2680aeb5e57aedbf46ab9c1041998cb4f7b509185,29527,res,review_required,unverified,unverified,unverified,,No repository-local provenance record currently clears this distributed asset.
game/art/anims/Death01.res,3bf598d7e1ad0f7bdef717c09c9f0f8118175d6f212166e92705043bc45fbcb6,68102,res,review_required,unverified,unverified,unverified,,No repository-local provenance record currently clears this distributed asset.
game/art/anims/Death02.res,2145585e422c18702835f40872347b16a1388ff2ef7233af3b208c8a9d0a377a,61610,res,review_required,unverified,unverified,unverified,,No repository-local provenance record currently clears this distributed asset.
game/art/anims/Dodge_Left.res,19c2817edb2376470a9be4b42be14fdbf361c031e8214ca8d77c786e934c39cc,42812,res,review_required,unverified,unverified,unverified,,No repository-local provenance record currently clears this distributed asset.
game/art/anims/Dodge_Left_RM.res,cc6ce4cf81714c2b7bca2219c2388216456f883a6ec235f140adf4adeb64668e,43118,res,review_required,unverified,unverified,unverified,,No repository-local provenance record currently clears this distributed asset.
game/art/anims/Dodge_Right.res,d6d6559840d6ece76fde489518b0542d15070aae2cb72267821199426072e49c,43798,res,review_required,unverified,unverified,unverified,,No repository-local provenance record currently clears this distributed asset.
game/art/anims/Dodge_Right_RM.res,00850d5f626e5dfb04ef4778e67c87cc9e58dd08cea2e302656235f746093d0b,44104,res,review_required,unverified,unverified,unverified,,No repository-local provenance record currently clears this distributed asset.
game/art/anims/Drink.res,8ae1d270f579689f5ae687351fe9ef2ff6bad911b818a8c064352c3bf4e71046,54878,res,review_required,unverified,unverified,unverified,,No repository-local provenance record currently clears this distributed asset.
game/art/anims/Driving.res,53e4262da1d990dd90e11e304bd2831387ee50ecee0790942c12bbda8026825d,21427,res,review_required,unverified,unverified,unverified,,No repository-local provenance record currently clears this distributed asset.
game/art/anims/Fixing_Kneeling.res,43de39907eb32f159663f19a4abbb034c8d093459be8d45466d501994afc4bde,115390,res,review_required,unverified,unverified,unverified,,No repository-local provenance record currently clears this distributed asset.
